index,Geo_Region_for_Bean,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness
474,Vanuatu,-16.0,167.0,28.0,78,40
475,Roberto,-21.26,-48.98,19.0,72,0
476,Ecuador,-2.0,-77.5,20.98,88,0
477,San Martín,-33.08,-68.47,18.0,12,0
478,Ocumare del Tuy,10.12,-66.78,20.56,73,68
479,Belize,17.25,-88.75,25.56,72,93
480,Belize,17.25,-88.75,25.56,72,93
481,Marañón,42.63,-2.44,9.44,100,20
482,Los Rios,-27.42,-65.67,17.19,65,70
483,Estado de Bahia,-12.0,-42.0,16.6,95,13
484,Uganda,2.0,33.0,18.72,94,12
485,Ecuador,-2.0,-77.5,20.98,88,0
486,Madagascar,-20.0,47.0,9.43,84,31
487,Peru,40.75,-86.07,18.89,77,1
488,Brazil,39.52,-87.12,18.0,82,20
489,Chuao,10.49,-67.53,18.89,73,100
490,Quito,-0.23,-78.52,13.0,93,75
491,Granada,37.19,-3.61,15.0,87,75
492,Dominican Republic,19.0,-70.67,14.59,100,90
493,Madagascar,-20.0,47.0,9.43,84,31
494,Lumas,40.82,20.0,16.75,70,51
495,Lumas,40.82,20.0,16.75,70,51
496,Tumbes,-3.57,-80.46,22.46,73,27
497,Tobago,11.25,-60.67,26.0,88,20
498,Acarigua,9.55,-69.2,17.0,100,100
499,Granada,37.19,-3.61,15.0,87,75
500,Porcelana,-22.77,-64.3,17.96,90,98
501,Orinoco,8.31,-62.7,26.11,88,9
502,Vinces,-1.55,-79.73,24.0,83,2
503,Madagascar,-20.0,47.0,9.43,84,31
504,Vietnam,16.17,107.83,36.0,59,20
505,Cuba,22.0,-79.5,23.37,93,94
506,Peru,40.75,-86.07,18.89,77,1
507,São Tomé,0.34,6.73,24.31,81,51
508,Estado de Bahia,-12.0,-42.0,16.6,95,13
509,Cuba,22.0,-79.5,23.37,93,94
510,Tanzania,-6.0,35.0,19.91,70,6
511,Rio Caribe,10.7,-63.11,25.07,89,12
512,La Masica,15.63,-87.1,25.11,82,72
513,Liberia,6.5,-9.5,21.87,98,57
514,San Andrés,12.58,-81.7,28.0,78,75
515,Maranura,-12.96,-72.66,19.91,65,74
516,Madagascar,-20.0,47.0,9.43,84,31
517,Bolivia,34.07,-78.15,25.56,78,90
518,La Selva del Camp,41.21,1.14,20.0,93,18
519,Puerto Rico,-26.8,-55.02,21.75,85,8
520,Haleiwa,21.58,-158.1,27.0,65,90
521,Nicaragua,13.0,-85.0,22.53,94,98
522,Selva,39.75,2.9,18.89,84,20
523,Macondo,39.47,-6.4,10.0,84,0
524,Santander,43.46,-3.8,14.44,76,90
525,Peru,40.75,-86.07,18.89,77,1
526,Peru,40.75,-86.07,18.89,77,1
527,Madagascar,-20.0,47.0,9.43,84,31
528,Madagascar,-20.0,47.0,9.43,84,31
529,Madagascar,-20.0,47.0,9.43,84,31
530,Madagascar,-20.0,47.0,9.43,84,31
531,Guadalcanal,38.1,-5.82,10.0,73,47
532,Puerto Rico,-26.8,-55.02,21.75,85,8
533,Brazil,39.52,-87.12,18.0,82,20
534,Upala,10.9,-85.01,24.35,87,98
535,Chiapas,16.5,-92.5,16.79,86,81
536,Africa,7.19,21.09,19.72,96,30
537,Ecuador,-2.0,-77.5,20.98,88,0
538,Cuba,22.0,-79.5,23.37,93,94
539,Santo Domingo,18.5,-69.99,27.78,88,75
540,Ecuador,-2.0,-77.5,20.98,88,0
541,Davao,6.81,125.71,29.0,74,90
542,Chuao,10.49,-67.53,18.89,73,100
543,Ecuador,-2.0,-77.5,20.98,88,0
