index,Geo_Region_for_Bean,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness
814,Madagascar,-20.0,47.0,9.43,84,31
815,Dominican Republic,19.0,-70.67,14.59,100,90
816,Dominican Republic,19.0,-70.67,14.59,100,90
817,Bolivar,37.61,-93.41,18.33,77,0
818,Bahia,-3.55,-40.25,22.59,95,72
819,Innichen,46.74,12.28,8.33,96,66
820,Ecuador,-2.0,-77.5,20.98,88,0
821,Ecuador,-2.0,-77.5,20.98,88,0
822,Samar,-7.99,111.78,26.15,67,30
823,Samar,-7.99,111.78,26.15,67,30
824,Samar,-7.99,111.78,26.15,67,30
825,Peru,40.75,-86.07,18.89,77,1
826,Peru,40.75,-86.07,18.89,77,1
827,Venezuela,8.0,-66.0,26.21,79,80
828,Venezuela,8.0,-66.0,26.21,79,80
829,Sri Lanka,7.0,81.0,28.5,52,93
830,Nacional,18.48,-69.93,27.78,88,75
831,Baracoa,20.35,-74.5,25.58,82,100
832,Ben Tre,10.23,106.38,34.36,48,49
833,Porcelana,-22.77,-64.3,17.96,90,98
834,Baracoa,20.35,-74.5,25.58,82,100
835,Spring,30.08,-95.42,24.44,56,1
836,Santo Domingo,18.5,-69.99,27.78,88,75
837,Ayacucho,-13.16,-74.22,10.63,74,8
838,Costa Rica,-23.42,-54.65,19.68,83,8
839,Dominican Republic,19.0,-70.67,14.59,100,90
840,Chiapas,16.5,-92.5,16.79,86,81
841,Peru,40.75,-86.07,18.89,77,1
842,Colombia,20.99,-77.43,24.0,100,50
843,Special Region of Papua,-4.75,138.0,27.0,93,100
844,Vietnam,16.17,107.83,36.0,59,20
845,La Santisima Trinidad,-14.83,-64.9,22.1,80,0
846,Distrikt Paramaribo,5.87,-55.17,25.0,92,100
847,Belize,17.25,-88.75,25.56,72,93
848,Concepción,-36.83,-73.05,12.0,81,11
849,Presidio,29.56,-104.37,31.0,33,1
850,Capistrano,38.69,16.29,13.0,100,0
851,San Jose,37.34,-121.89,20.56,52,75
852,San Jose,37.34,-121.89,20.56,52,75
853,Bahia,-3.55,-40.25,22.59,95,72
854,Peru,40.75,-86.07,18.89,77,1
855,Belize,17.25,-88.75,25.56,72,93
856,Madagascar,-20.0,47.0,9.43,84,31
857,Ecuador,-2.0,-77.5,20.98,88,0
858,Guatemala City,14.64,-90.51,19.0,82,20
859,Ecuador,-2.0,-77.5,20.98,88,0
860,Madagascar,-20.0,47.0,9.43,84,31
861,Uganda,2.0,33.0,18.72,94,12
862,Peru,40.75,-86.07,18.89,77,1
863,Madagascar,-20.0,47.0,9.43,84,31
864,Ghana,8.0,-2.0,21.77,94,54
865,Ghana,12.39,8.48,24.0,73,20
866,Belize,17.25,-88.75,25.56,72,93
867,Roxborough,11.25,-60.58,26.0,88,20
868,Venezuela,8.0,-66.0,26.21,79,80
869,Dominican Republic,19.0,-70.67,14.59,100,90
870,Ambanja,-13.68,48.45,22.28,63,17
871,Cedeno,7.05,-72.16,19.75,81,17
872,Madagascar,-20.0,47.0,9.43,84,31
873,Dominican Republic,19.0,-70.67,14.59,100,90
874,Palos Blancos,-24.33,-64.95,13.0,93,100
875,Dominican Republic,19.0,-70.67,14.59,100,90
876,Peru,40.75,-86.07,18.89,77,1
877,Dominican Republic,19.0,-70.67,14.59,100,90
878,Matagalpa,12.93,-85.92,19.77,93,100
879,Madagascar,-20.0,47.0,9.43,84,31
880,Tanzania,-6.0,35.0,19.91,70,6
881,Piura,-5.19,-80.63,19.76,69,1
882,Porcelana,-22.77,-64.3,17.96,90,98
883,Alpaco,10.24,123.68,31.0,70,90
884,Manjari,19.48,74.79,30.8,52,84
885,Porcelana,-22.77,-64.3,17.96,90,98
886,Guanaja,16.4,-85.9,28.26,76,97
887,Porcelana,-22.77,-64.3,17.96,90,98
888,Manhattan,40.78,-73.97,24.0,88,20
889,Napa,38.48,-122.33,18.89,64,97
890,Madagascar,-20.0,47.0,9.43,84,31
891,Madagascar,-20.0,47.0,9.43,84,31
892,Madagascar,-20.0,47.0,9.43,84,31
893,Madagascar,-20.0,47.0,9.43,84,31
894,Madagascar,-20.0,47.0,9.43,84,31
895,Palos Blancos,-24.33,-64.95,13.0,93,100
896,Dominican Republic,19.0,-70.67,14.59,100,90
897,La Santisima Trinidad,-14.83,-64.9,22.1,80,0
898,Ben Tre,10.24,106.37,34.39,48,50
899,San Martín,-33.08,-68.47,18.0,12,0
900,Los Ríos,18.52,-71.59,25.02,67,100
901,Los Ríos,18.52,-71.59,25.02,67,100
902,Los Ríos,18.52,-71.59,25.02,67,100
903,Los Ríos,18.52,-71.59,25.02,67,100
904,Cuyagua,10.48,-67.7,25.38,84,100
905,Peru,40.75,-86.07,18.89,77,1
906,Cahabón,15.57,-89.82,21.39,92,74
907,Peru,40.75,-86.07,18.89,77,1
908,Ocumare del Tuy,10.12,-66.78,20.56,73,68
909,Dominican Republic,19.0,-70.67,14.59,100,90
910,Ghana,8.0,-2.0,21.77,94,54
911,Amazonas,-5.0,-63.0,22.95,97,54
912,Amazonas,-5.0,-63.0,22.95,97,54
913,Tumbes,-3.57,-80.44,22.18,74,29
914,Los Llanos,18.62,-69.5,27.22,88,75
915,Los Llanos,18.62,-69.5,27.22,88,75
916,Java,42.4,43.94,20.78,50,87
917,Java,42.4,43.94,20.78,50,87
918,San Martín,-33.08,-68.47,18.0,12,0
919,Rio Caribe,10.7,-63.11,25.07,89,12
920,Ghana,12.39,8.48,24.0,73,20
921,Marañón,42.63,-2.44,9.44,100,20
922,Gran Couva,10.4,-61.37,26.11,88,20
923,Ecuador,-2.0,-77.5,20.98,88,0
924,Costa Rica,-23.42,-54.65,19.68,83,8
925,Ocumare del Tuy,10.12,-66.78,20.56,73,68
926,Dominican Republic,19.0,-70.67,14.59,100,90
927,Madagascar,-20.0,47.0,9.43,84,31
928,Peru,40.75,-86.07,18.89,77,1
929,Belize,17.25,-88.75,25.56,72,93
930,Guadalcanal,38.1,-5.82,10.0,73,47
931,Raw,54.44,-0.56,11.11,95,100
932,Bocas del Toro,9.33,-82.25,17.22,100,100
933,El Oro,26.87,-105.85,21.24,51,84
934,Santo Domingo,18.5,-69.99,27.78,88,75
935,Republic of the Congo,-1.0,15.0,22.85,90,100
936,Peru,40.75,-86.07,18.89,77,1
937,Republic of the Congo,-1.0,15.0,22.85,90,100
938,Brazil,39.52,-87.12,17.22,77,1
